'衡','1','on_only'
'衷','1','on_only'
'裕','1','on_only'
'製','1','on_only'
'複','1','on_only'
'褐','1','on_only'
'覇','1','on_only'
'規','1','on_only'
'視','1','on_only'
'覧','1','on_only'
'観','1','on_only'
'訂','1','on_only'
'訓','1','on_only'
'託','1','on_only'
'訟','1','on_only'
'証','1','on_only'
'詐','1','on_only'
'評','1','on_only'
'詞','1','on_only'
'詩','1','on_only'
'該','1','on_only'
'誌','1','on_only'
'誕','1','on_only'
'課','1','on_only'
'談','1','on_only'
'論','1','on_only'
'諸','1','on_only'
'諾','1','on_only'
'謁','1','on_only'
'謄','1','on_only'
'謙','1','on_only'
'講','1','on_only'
'識','1','on_only'
'譜','1','on_only'
'警','1','on_only'
'議','1','on_only'
'護','1','on_only'
'豪','1','on_only'
'貞','1','on_only'
'貨','1','on_only'
'販','1','on_only'
'貯','1','on_only'
'貿','1','on_only'
'賀','1','on_only'
'賃','1','on_only'
'資','1','on_only'
'賊','1','on_only'
'賓','1','on_only'
'賛','1','on_only'
'賞','1','on_only'
'賠','1','on_only'
'賦','1','on_only'
'購','1','on_only'
'赦','1','on_only'
'距','1','on_only'
'践','1','on_only'
'軌','1','on_only'
'軍','1','on_only'
'軸','1','on_only'
'較','1','on_only'
'輩','1','on_only'
'輸','1','on_only'
'轄','1','on_only'
'農','1','on_only'
'迅','1','on_only'
'迭','1','on_only'
'逐','1','on_only'
'逓','1','on_only'
'途','1','on_only'
'逮','1','on_only'
'週','1','on_only'
'逸','1','on_only'
'遇','1','on_only'
'遍','1','on_only'
'達','1','on_only'
'適','1','on_only'
'遵','1','on_only'
'遷','1','on_only'
'還','1','on_only'
'邦','1','on_only'
'邪','1','on_only'
'邸','1','on_only'
'郊','1','on_only'
'郎','1','on_only'
'郡','1','on_only'
'部','1','on_only'
'郭','1','on_only'
'郵','1','on_only'
'酪','1','on_only'
'酬','1','on_only'
'酵','1','on_only'
'酷','1','on_only'
'釈','1','on_only'
'鉄','1','on_only'
'鉱','1','on_only'
'銀','1','on_only'
'銃','1','on_only'
'銅','1','on_only'
'銘','1','on_only'
'錠','1','on_only'
'錬','1','on_only'
'錯','1','on_only'
'録','1','on_only'
'閑','1','on_only'
'閣','1','on_only'
'閥','1','on_only'
'閲','1','on_only'
'阪','1','on_only'
'附','1','on_only'
'陛','1','on_only'
'院','1','on_only'
'陣','1','on_only'
'陪','1','on_only'
'陳','1','on_only'
'陶','1','on_only'
'陸','1','on_only'
'陽','1','on_only'
'隆','1','on_only'
'隊','1','on_only'
'階','1','on_only'
'随','1','on_only'
'隷','1','on_only'
'隻','1','on_only'
'雅','1','on_only'
'雰','1','on_only'
'零','1','on_only'
'電','1','on_only'
'需','1','on_only'
'非','1','on_only'
'韓','1','on_only'
'韻','1','on_only'
'項','1','on_only'
'順','1','on_only'
'須','1','on_only'
'頑','1','on_only'
'頒','1','on_only'
'領','1','on_only'
'頻','1','on_only'
'題','1','on_only'
'顕','1','on_only'
'餓','1','on_only'
'駄','1','on_only'
'駅','1','on_only'
'駐','1','on_only'
'騎','1','on_only'
'騰','1','on_only'
'髄','1','on_only'
'魅','1','on_only'
'魔','1','on_only'
'齢','1','on_only'
