但,Kunyomi*ただ－し*1
刈,Kunyomi*か－る*1
卯,Kunyomi*う*1
卸,Kunyomi*おろ－す、おろし*2
又,Kunyomi*また*1
咲,Kunyomi*さ－く*1
坪,Kunyomi*つぼ*1
垣,Kunyomi*かき*1
埼,Kunyomi*さい*1
堀,Kunyomi*ほり*1
塚,Kunyomi*つか*1
姫,Kunyomi*ひめ*1
娘,Kunyomi*むすめ*1
宛,Kunyomi*あ－てる*1
届,Kunyomi*とど－ける、とど－く*2
岡,Kunyomi*おか*1
岬,Kunyomi*みさき*1
峠,Kunyomi*とうげ*1
崎,Kunyomi*さき*1
嵐,Kunyomi*あらし*1
巳,Kunyomi*み*1
扱,Kunyomi*あつか－う*1
据,Kunyomi*す－える、す－わる*2
掛,Kunyomi*か－ける、か－かる、かかり*3
杉,Kunyomi*すぎ*1
枠,Kunyomi*わく*1
栃,Kunyomi*とち*1
株,Kunyomi*かぶ*1
梨,Kunyomi*なし*1
棚,Kunyomi*たな*1
浦,Kunyomi*うら*1
滝,Kunyomi*たき*1
漬,Kunyomi*つ－ける、つ－かる*2
潟,Kunyomi*かた*1
瀬,Kunyomi*せ*1
熊,Kunyomi*くま*1
爪,Kunyomi*つめ、つま*2
畑,Kunyomi*はた、はたけ*2
畝,Kunyomi*うね*1
皿,Kunyomi*さら*1
箱,Kunyomi*はこ*1
繰,Kunyomi*く－る*1
肌,Kunyomi*はだ*1
脇,Kunyomi*わき*1
芋,Kunyomi*いも*1
芝,Kunyomi*しば*1
茨,Kunyomi*いばら*1
虞,Kunyomi*おそれ*1
虹,Kunyomi*にじ*1
蚊,Kunyomi*か*1
貝,Kunyomi*かい*1
込,Kunyomi*こ－む、こ－める*2
鎌,Kunyomi*かま*1
駒,Kunyomi*こま*1
鶴,Kunyomi*つる*1
鹿,Kunyomi*しか、か*2
一,Both*イチ、イツ*2*ひと、ひと－つ*2
七,Both*シチ*1*なな、なな－つ、なの*3
丈,Both*ジョウ*1*たけ*1
三,Both*サン*1*み、み－つ、みっ－つ*3
上,Both*ジョウ、ショウ*2*うえ、うわ、かみ、あ－げる、あ－がる、のぼ－る、のぼ－せる、のぼ－す*8
下,Both*カ、ゲ*2*した、しも、もと、さ－げる、さ－がる、くだ－る、くだ－す、くだ－さる、お－ろす、お－りる*10
与,Both*ヨ*1*あた－える*1
世,Both*セイ、セ*2*よ*1
丘,Both*キュウ*1*おか*1
並,Both*ヘイ*1*なみ、なら－べる、なら－ぶ、なら－びに*4
中,Both*チュウ、ジュウ*2*なか*1
丸,Both*ガン*1*まる、まる－い、まる－める*3
主,Both*シュ、ス*2*ぬし、おも*2
久,Both*キュウ、ク*2*ひさ－しい*1
乏,Both*ボウ*1*とぼ－しい*1
乗,Both*ジョウ*1*の－る、の－せる*2
九,Both*キュウ、ク*2*ここの、ここの－つ*2
乱,Both*ラン*1*みだ－れる、みだ－す*2
乳,Both*ニュウ*1*ちち、ち*2
乾,Both*カン*1*かわ－く、かわ－かす*2
亀,Both*キ*1*かめ*1
争,Both*ソウ*1*あらそ－う*1
事,Both*ジ、ズ*2*こと*1
二,Both*ニ*1*ふた、ふた－つ*2
互,Both*ゴ*1*たが－い*1
五,Both*ゴ*1*いつ、いつ－つ*2
井,Both*セイ、ショウ*2*い*1
亡,Both*ボウ、モウ*2*な－い*1
交,Both*コウ*1*まじ－わる、まじ－える、ま－じる、ま－ざる、ま－ぜる、か－う、か－わす*7
人,Both*ジン、ニン*2*ひと*1
今,Both*コン、キン*2*いま*1
仏,Both*ブツ*1*ほとけ*1
仕,Both*シ、ジ*2*つか－える*1
他,Both*タ*1*ほか*1
付,Both*フ*1*つ－ける、つ－く*2
代,Both*ダイ、タイ*2*か－わる、か－える、よ、しろ*4
仮,Both*カ、ケ*2*かり*1
仰,Both*ギョウ、コウ*2*あお－ぐ、おお－せ*2
仲,Both*チュウ*1*なか*1
任,Both*ニン*1*まか－せる、まか－す*2
企,Both*キ*1*くわだ－てる*1
伏,Both*フク*1*ふ－せる、ふ－す*2
休,Both*キュウ*1*やす－む、やす－まる、やす－める*3
会,Both*カイ、エ*2*あ－う*1
伝,Both*デン*1*つた－わる、つた－える、つた－う*3
伴,Both*ハン、バン*2*ともな－う*1
伸,Both*シン*1*の－びる、の－ばす、の－べる*3
伺,Both*シ*1*うかが－う*1
似,Both*ジ*1*に－る*1
位,Both*イ*1*くらい*1
低,Both*テイ*1*ひく－い、ひく－める、ひく－まる*3
住,Both*ジュウ*1*す－む、す－まう*2
体,Both*タイ、テイ*2*からだ*1
何,Both*カ*1*なに、なん*2
余,Both*ヨ*1*あま－る、あま－す*2
作,Both*サク、サ*2*つく－る*1
併,Both*ヘイ*1*あわ－せる*1
使,Both*シ*1*つか－う*1
例,Both*レイ*1*たと－える*1
侍,Both*ジ*1*さむらい*1
供,Both*キョウ、ク*2*そな－える、とも*2
価,Both*カ*1*あたい*1
侮,Both*ブ*1*あなど－る*1
侵,Both*シン*1*おか－す*1
便,Both*ベン、ビン*2*たよ－り*1
係,Both*ケイ*1*かか－る、かかり*2
促,Both*ソク*1*うなが－す*1
保,Both*ホ*1*たも－つ*1
修,Both*シュウ、シュ*2*おさ－める、おさ－まる*2
俵,Both*ヒョウ*1*たわら*1
倉,Both*ソウ*1*くら*1
倒,Both*トウ*1*たお－れる、たお－す*2
候,Both*コウ*1*そうろう*1
借,Both*シャク*1*か－りる*1
倣,Both*ホウ*1*なら－う*1
値,Both*チ*1*ね、あたい*2
偉,Both*イ*1*えら－い*1
