gyou,仰凝形暁業行
gyoku,玉
gin,吟銀
ku,久九供功区口句工庫紅苦貢駆
kuu,空
kutsu,屈掘
kun,勲君薫訓
gu,具愚
guu,偶宮遇隅
gun,群軍郡
ke,仮化家懸気華
kei,京係傾兄刑啓型境契形径恵慶憩掲携敬景渓競系経継茎蛍計警軽鶏
ketsu,傑欠決潔穴結血
ken,件倹健兼券剣圏堅嫌建憲懸検権犬献県研絹繭肩見謙賢軒遣間険顕験
ge,下夏外牙解
gei,芸迎鯨
geki,劇撃激
getsu,月
gen,元原厳嫌幻弦減源玄現眼言限験
ko,個去古呼固孤己庫弧戸拠故枯湖虎虚誇雇顧鼓
kou,交仰侯候光公功効厚口后向坑好孔孝工巧幸広康後恒慌抗拘控攻更校格構江洪港溝甲皇硬稿紅絞綱考耕耗肯興航荒行衡講貢購郊酵鉱鋼降項香高黄
koku,克刻告国穀谷酷黒
kotsu,滑骨
kon,今困墾婚建恨懇昆根混献紺金魂
go,互五午呉娯後御悟期碁語誤護
gou,剛号合強拷業豪郷
goku,極獄
gon,勤厳権言
sa,佐作再唆左差査砂茶詐鎖
sai,催債再切妻宰彩才採斎最栽歳殺済災砕祭細菜裁西財載際
saku,作冊削搾昨策索酢錯
satsu,早冊刷察撮擦札殺
san,三傘参山惨散桟産算蚕賛酸
za,座
zai,剤在材罪財
zatsu,雑
zan,惨暫残
shi,仕伺使刺史司嗣四士姉始姿子市師志思指支施旨枝次止歯死氏矢示祉私糸紙紫肢脂自至視詞試詩誌諮資賜雌飼
shiki,式織色識
shichi,七質
shitsu,執失室湿漆疾質
sha,写射捨斜煮砂社者舎謝赦車遮
shaku,借尺昔爵石赤酌釈
shu,主修取守手朱殊狩珠種衆趣酒首
shuu,修収周囚執宗就州愁拾祝秀秋終習臭舟衆袖襲週酬醜集叔宿淑祝粛縮出
shun,俊旬春瞬
sho,処初庶所暑書緒署諸
shou,上井傷償勝匠升召唱商声奨姓宵将小少尚床彰従性承抄招掌政昇昌星昭晶松正沼消清渉焦焼照生症相省硝礁祥称章笑粧精紹肖衝装訟証詔詳象賞鐘障青
shoku,植殖織職色触食飾嘱
shin,伸侵信唇娠寝審心慎振新森津浸深申真神紳臣薪親診請身辛進針震
ji,事仕似侍児地字寺慈持時次治滋磁示耳自辞除
jiki,直食
jiku,軸
jitsu,十
jitsu,実日
jya,蛇邪
jaku,寂弱着若
ju,儒受寿就授樹需
juu,中住充十従拾柔汁渋獣縦重銃
juku,塾熟
jutsu,術述
jun,准巡循旬殉準潤盾純遵順
jo,助叙女如序徐除
